center,ip,name
cq,10.25.58.16,tts
cq,10.25.58.17,tts
cq,10.25.58.18,isbc
cq,10.25.58.19,isbc
cq,10.25.58.22,biccsig
cq,10.25.58.25,biccsig
cq,10.25.58.28,biccmedia
cq,10.25.58.29,biccmedia
cq,10.25.58.30,sipproxy
cq,10.25.58.32,sipproxy
cq,10.25.58.34,asbc
cq,10.25.58.35,asbc
cq,10.25.58.38,cds
cq,10.25.58.39,cds
cq,10.25.58.40,redis
cq,10.25.58.41,redis
cq,10.25.58.42,redis
cq,10.25.58.43,redis
cq,10.25.58.44,redis
cq,10.25.58.45,redis
cq,10.25.58.46,fsm
cq,10.25.58.47,fsm
cq,10.25.58.48,fsm
cq,10.25.58.49,fsm
cq,10.25.58.50,cms
cq,10.25.58.51,kafka
cq,10.25.58.52,kafka
cq,10.25.58.53,kafka
cq,10.25.58.54,nginx
cq,10.25.58.55,nginx
cq,10.25.58.56,mysql
cq,10.25.58.57,mysql
cq,10.25.58.58,scc
cq,10.25.58.59,cds2
cq,10.25.58.60,cmu
cq,10.25.58.61,cmu
cq,10.25.58.62,ivr10086
cq,10.25.58.63,ivr10086
cq,10.25.58.64,ivr10086
cq,10.25.58.65,ivr10086
cq,10.25.58.80,ivr10086
cq,10.25.58.81,ivr10086
cq,10.25.58.82,ivr10086
cq,10.25.58.83,ivr10086
cq,10.25.58.84,ivr10086
cq,10.25.58.85,ivr10086
cq,10.25.58.66,ivr1008611
cq,10.25.58.67,ivr1008611
cq,10.25.58.68,ivr1008611
cq,10.25.58.69,ivr1008611
cq,10.25.58.70,ivrinterface
cq,10.25.58.71,ivrinterface
cq,10.25.58.72,ivrinterface
cq,10.25.58.73,ivrinterface
cq,10.25.58.74,ivrinterface
cq,10.25.58.75,ivrinterface
cq,10.25.58.76,ivrinterface
cq,10.25.58.77,ivrinterface
cq,10.25.58.86,ivrinterface
cq,10.25.58.87,ivrinterface
cq,10.25.58.88,ivrinterface
cq,10.25.58.89,ivrinterface
cq,10.25.58.90,ivrinterface
cq,10.25.58.91,ivrinterface
cq,10.25.58.78,数字化监测[主中心安装]
cq,10.25.58.79,数字化监测[主中心安装]
kfq,10.25.58.198,tts
kfq,10.25.58.199,tts
kfq,10.25.58.142,biccsig
kfq,10.25.58.145,biccsig
kfq,10.25.58.148,biccmedia
kfq,10.25.58.149,biccmedia
kfq,10.25.58.150,sipproxy
kfq,10.25.58.152,sipproxy
kfq,10.25.58.154,asbc
kfq,10.25.58.155,asbc
kfq,10.25.58.158,cds
kfq,10.25.58.159,cds
kfq,10.25.58.160,redis
kfq,10.25.58.161,redis
kfq,10.25.58.162,redis
kfq,10.25.58.163,redis
kfq,10.25.58.164,redis
kfq,10.25.58.165,redis
kfq,10.25.58.166,fsm
kfq,10.25.58.167,fsm
kfq,10.25.58.168,fsm
kfq,10.25.58.169,fsm
kfq,10.25.58.171,kafka
kfq,10.25.58.172,kafka
kfq,10.25.58.173,kafka
kfq,10.25.58.174,nginx
kfq,10.25.58.175,nginx
kfq,10.25.58.176,mysql
kfq,10.25.58.177,mysql
kfq,10.25.58.182,ivr10086
kfq,10.25.58.183,ivr10086
kfq,10.25.58.184,ivr10086
kfq,10.25.58.185,ivr10086
kfq,10.25.58.200,ivr10086
kfq,10.25.58.201,ivr10086
kfq,10.25.58.202,ivr10086
kfq,10.25.58.203,ivr10086
kfq,10.25.58.204,ivr10086
kfq,10.25.58.205,ivr10086
kfq,10.25.58.186,ivr1008611
kfq,10.25.58.187,ivr1008611
kfq,10.25.58.188,ivr1008611
kfq,10.25.58.189,ivr1008611
kfq,10.25.58.190,ivrinterface
kfq,10.25.58.191,ivrinterface
kfq,10.25.58.192,ivrinterface
kfq,10.25.58.193,ivrinterface
kfq,10.25.58.194,ivrinterface
kfq,10.25.58.195,ivrinterface
kfq,10.25.58.196,ivrinterface
kfq,10.25.58.197,ivrinterface
kfq,10.25.58.206,ivrinterface
kfq,10.25.58.207,ivrinterface
kfq,10.25.58.208,ivrinterface
kfq,10.25.58.209,ivrinterface
kfq,10.25.58.210,ivrinterface
kfq,10.25.58.211,ivrinterface
